TOP,BOTTOM,STRATIGRAPHY_SYM,LITHOLOGY,MYUWI
1774,2110,Tp1,iłowce,MY6
2110,2167.5,Na4,(nieokreślone),MY6
2167.5,2176,A4D,(nieokreślone),MY6
2176,2183,I4,(nieokreślone),MY6
2183,2184,A3G,(nieokreślone),MY6
2184,2241.5,Na3G,(nieokreślone),MY6
2241.5,2255,Kz3,(nieokreślone),MY6
2255,2338,Na3D,(nieokreślone),MY6
2338,2350,A3,(nieokreślone),MY6
2350,2354,Ca3,(nieokreślone),MY6
2354,2859,A2,(nieokreślone),MY6
2859,2872,Ca2,wapienie,MY6
2872,2943,A1G,(nieokreślone),MY6
2943,3022,Na1,(nieokreślone),MY6
3022,3041.5,A1D,(nieokreślone),MY6
3041.5,3050,Ca1,(nieokreślone),MY6
3050,3050.5,I1,(nieokreślone),MY6
3050.5,3103,Ps,mułowce,MY6
3103,3116.7,Pa,(nieokreślone),MY6
0,38,Q,"gliny,piaski,żwiry",MY5
38,220,Tr,"piaski,żwiry",MY5
220,327.5,Jkm,"łupki,piaskowce",MY5
327.5,435,Jo,"wapienie,piaskowce",MY5
435,555,Jkl,piaskowce,MY5
555,604,Jbt,"łupki,piaskowce",MY5
604,656,Jbj,"łupki,piaskowce",MY5
656,846,J1,"piaskowce,łupki",MY5
846,873,Tk1,"łupki,piaskowce",MY5
873,1031,T2,"wapienie,łupki",MY5
1031,1067,Tp3,piaskowce,MY5
1067,1558,Tp2,"piaskowce,łupki",MY5
1558,1882,Tp1,iłowce,MY5
1882,1882.5,A4G,(nieokreślone),MY5
1882.5,1934,Na4,(nieokreślone),MY5
1934,1942.5,A4D,(nieokreślone),MY5
1942.5,1950,I4,(nieokreślone),MY5
1950,2097.5,Na3,(nieokreślone),MY5
2097.5,2118.5,A3,(nieokreślone),MY5
2118.5,2121,Ca3,dolomity,MY5
2121,2121.5,I3,(nieokreślone),MY5
2121.5,2127,A2G,(nieokreślone),MY5
2127,2890,Na2,(nieokreślone),MY5
2890,2893.5,A2,(nieokreślone),MY5
2893.5,2908.5,Ca2,wapienie,MY5
2908.5,2976,A1G,(nieokreślone),MY5
2976,3023,Na1,(nieokreślone),MY5
3023,3071.5,A1D,(nieokreślone),MY5
3071.5,3077.5,Ca1,wapienie,MY5
3077.5,3079,I1,(nieokreślone),MY5
3079,3116,Ps,mułowce,MY5
3116,3140,Pa,(nieokreślone),MY5
0,19.5,Q,"gliny,piaski,żwiry",MY4
19.5,397,J2,iłowce,MY4
397,427,Jto3,piaskowce,MY4
427,593.5,Jto1,iłowce,MY4
593.5,658,Jpl3,piaskowce,MY4
658,1039,Jpl1,iłowce,MY4
1039,1504,Js,"iłowce,mułowce",MY4
1504,1706.5,TRe,iłowce,MY4
1706.5,1926,Tk,iłowce,MY4
1926,2066,T2,wapienie,MY4
2066,2234.5,T1,iłowce,MY4
2234.5,2364.5,Z4,(nieokreślone),MY4
2364.5,2424,Na3,(nieokreślone),MY4
2424,2540.5,A3,(nieokreślone),MY4
2540.5,2543,Ca3,dolomity,MY4
2543,2546.5,I3,(nieokreślone),MY4
2546.5,2550.5,A2G,(nieokreślone),MY4
2550.5,2606,Na2,(nieokreślone),MY4
2606,2611.5,A2,(nieokreślone),MY4
2611.5,2688.5,Ca2,dolomity,MY4
2688.5,2732.5,A1G,(nieokreślone),MY4
0,18,Q,"gliny,piaski,żwiry",MY3
18,67.5,Jbt,"piaskowce,łupki",MY3
67.5,310,Jbj,"łupki,piaskowce,mułowce",MY3
310,331,Jto3,"piaskowce,łupki,mułowce",MY3
331,435.5,Jto1,"łupki,mułowce",MY3
435.5,556.5,Jpl3,"piaskowce,zlepieńce",MY3
556.5,807.5,Jpl1,"łupki,mułowce",MY3
807.5,1092.5,Js+Jh,"łupki,piaskowce,mułowce",MY3
1092.5,1172.5,TRe,"łupki,mułowce",MY3
1172.5,1263.5,Tk,"łupki,mułowce",MY3
1263.5,1412.5,T2,"łupki,mułowce",MY3
1412.5,1578.5,Tp3,"łupki,mułowce",MY3
1578.5,2039,Tp2,"łupki,piaskowce,mułowce",MY3
2039,2412.5,Tp1,"piaskowce,łupki,mułowce",MY3
2412.5,2413.5,A4G,(nieokreślone),MY3
2413.5,2502.5,Na4,(nieokreślone),MY3
2502.5,2503.5,A4D,(nieokreślone),MY3
2503.5,2532,I4,(nieokreślone),MY3
2532,2620,Na3,(nieokreślone),MY3
2620,2642,A3,(nieokreślone),MY3
2642,2649.5,Ca3,(nieokreślone),MY3
2649.5,2651.5,A2G,(nieokreślone),MY3
2651.5,2725.5,Na2,(nieokreślone),MY3
2725.5,2731.5,A2,(nieokreślone),MY3
2731.5,2814.7,Ca2,dolomity,MY3
2814.7,2840.5,A1G,(nieokreślone),MY3
0,54,Q,"gliny,piaski",MY2
54,189,J2,"iłowce,mułowce",MY2
189,1195,J1,"piaskowce,iłowce",MY2
1195,1273,TRe,iłowce,MY2
1273,1334,Tk3D,iłowce,MY2
1334,1398,Tk1,"iłowce,mułowce",MY2
1398,1563.5,T2,dolomity,MY2
1563.5,1706,Tp3,"piaskowce,iłowce",MY2
1706,2180,Tp2,"iłowce,mułowce,piaskowce",MY2
2180,2553.5,Tp1,"iłowce,mułowce",MY2
2553.5,2555,A4G,(nieokreślone),MY2
2555,2652.5,Na4,(nieokreślone),MY2
2652.5,2654,A4D,(nieokreślone),MY2
2654,2679,I4,(nieokreślone),MY2
2679,2731,Na3,(nieokreślone),MY2
2731,2762,A3,(nieokreślone),MY2
2762,2767.5,Ca3,(nieokreślone),MY2
2767.5,2770,A2G,(nieokreślone),MY2
2770,2829,Na2,(nieokreślone),MY2
2829,2837.5,A2,(nieokreślone),MY2
2837.5,2883.5,Ca2,dolomity,MY2
2883.5,2916,A1G,(nieokreślone),MY2
2793,3000,A1G,(nieokreślone),MY1
3000,3091.5,Na1,(nieokreślone),MY1
3091.5,3142,A1D,(nieokreślone),MY1
3142,3148.5,Ca1,(nieokreślone),MY1
3148.5,3150,I1,(nieokreślone),MY1
3150,3247,Ps,piaskowce,MY1
0,26,Q,"piaski,żwiry",MY1
26,119.5,J2,"iłowce,mułowce,piaskowce",MY1
119.5,1080,J1,"mułowce,piaskowce",MY1
1080,1159,TRe,"iłowce,wapienie",MY1
1159,1208.5,Tk3D,iłowce,MY1
1208.5,1235,Tk1,"iłowce,mułowce",MY1
1235,1388,T2,"iłowce,wapienie",MY1
1388,1534,Tp3,"mułowce,piaskowce",MY1
1534,2054,Tp2,"mułowce,piaskowce",MY1
2054,2427,Tp1,iłowce,MY1
2427,2520,Na4,(nieokreślone),MY1
2520,2548.5,I4,(nieokreślone),MY1
2548.5,2584,Na3,(nieokreślone),MY1
2584,2635,A3,(nieokreślone),MY1
2635,2728.5,Na2,(nieokreślone),MY1
2728.5,2740,A2,(nieokreślone),MY1
2740,2793,Ca2,dolomity,MY1
0,38,Q,"gliny,piaski,żwiry",MY17
38,70,Jto1,łupki,MY17
70,132,Jpl3,"piaskowce,łupki",MY17
132,514,Jpl1,"piaskowce,łupki",MY17
514,656,Js,"piaskowce,łupki",MY17
656,794,TRe,"łupki,piaskowce,mułowce",MY17
794,869,Tk3,"łupki,piaskowce,gipsy,anhydryty",MY17
869,1001.5,Tk1,"łupki,piaskowce,mułowce",MY17
1001.5,1147,T2,"wapienie,łupki",MY17
1147,1319.5,Tp3,"piaskowce,łupki",MY17
1319.5,1754.5,Tp2,piaskowce,MY17
1754.5,2089.5,Tp1,"łupki,piaskowce,mułowce",MY17
2089.5,2090.5,A4G,(nieokreślone),MY17
2090.5,2151.5,Na4,(nieokreślone),MY17
2151.5,2152.5,A4D,(nieokreślone),MY17
2152.5,2164,I4,(nieokreślone),MY17
2164,2262.5,Na3,(nieokreślone),MY17
2262.5,2280,A3,(nieokreślone),MY17
2280,2286,Ca3,(nieokreślone),MY17
2286,2287.5,A2G,(nieokreślone),MY17
2287.5,2348,Na2,(nieokreślone),MY17
2348,2353.9,A2,(nieokreślone),MY17
2353.9,2355.9,Ca2,dolomity,MY17
0,42,Q,"piaski,żwiry",MY87
42,233.5,J3,"iłowce,mułowce,piaskowce",MY87
233.5,331,Jkl,"iłowce,mułowce,piaskowce",MY87
331,390,Jbt,"iłowce,mułowce",MY87
390,451.5,Jbj,"iłowce,mułowce,piaskowce",MY87
451.5,611,Jto3,"iłowce,mułowce,piaskowce",MY87
611,649,Jto1,"iłowce,mułowce,piaskowce",MY87
649,752.5,Jpl3,"piaskowce,iłowce",MY87
752.5,1064.5,Jpl1,"iłowce,mułowce,piaskowce",MY87
1064.5,1227,Jh,"piaskowce,iłowce",MY87
1227,1337,TRe,"iłowce,mułowce",MY87
1337,1455,Tk,"iłowce,mułowce,piaskowce",MY87
1455,1595,T2,"iłowce,wapienie",MY87
1595,1750,Tp3,"iłowce,mułowce,piaskowce",MY87
1750,2142,Tp2,"iłowce,mułowce,piaskowce",MY87
2142,2505.5,Tp1,"iłowce,wapienie",MY87
2505.5,2506,A4G,(nieokreślone),MY87
2506,2586,Na4,(nieokreślone),MY87
2586,2587,A4D,(nieokreślone),MY87
2587,2599.5,I4,(nieokreślone),MY87
2599.5,2717.5,Na3,(nieokreślone),MY87
2717.5,2735.5,A3,(nieokreślone),MY87
2735.5,2742.5,Ca3,(nieokreślone),MY87
2742.5,2743.5,A2G,(nieokreślone),MY87
2743.5,2831,Na2,(nieokreślone),MY87
2831,2834.5,A2,(nieokreślone),MY87
2834.5,2895.5,Ca2,dolomity,MY87
2895.5,2902,A1G,(nieokreślone),MY87
0,34,Q,"gliny,piaski,żwiry",MY86
34,187.5,J3,"margle,wapienie",MY86
187.5,454.5,J2,"łupki,piaskowce",MY86
454.5,598.5,Jto3,"łupki,piaskowce",MY86
598.5,648,Jto1,"łupki,mułowce",MY86
648,750.5,Jpl3,"łupki,piaskowce",MY86
750.5,1052.5,Jpl1,"łupki,piaskowce",MY86
1052.5,1193.5,Js+Jh,"łupki,piaskowce",MY86
1193.5,1314.5,TRe,"łupki,mułowce",MY86
1314.5,1360,Tk3D,iłowce,MY86
1360,1415.5,Tk1,"łupki,piaskowce,mułowce",MY86
1415.5,1555,T2,"wapienie,łupki",MY86
1555,1710,Tp3,"łupki,piaskowce,mułowce",MY86
1710,2108.5,Tp2,"piaskowce,łupki,mułowce",MY86
2108.5,2448.5,Tp1,"wapienie,łupki",MY86
2448.5,2449.5,A4G,(nieokreślone),MY86
2449.5,2534,Na4,(nieokreślone),MY86
2534,2535,A4D,(nieokreślone),MY86
2535,2548,I4,(nieokreślone),MY86
2548,2676,Na3,(nieokreślone),MY86
2676,2690,A3,(nieokreślone),MY86
2690,2695,Ca3,(nieokreślone),MY86
2695,2696.5,A2G,(nieokreślone),MY86
2696.5,2798,Na2,(nieokreślone),MY86
2798,2849,A2,(nieokreślone),MY86
2849,2990.5,Ca2,dolomity,MY86
2990.5,3077.5,A1G,(nieokreślone),MY86
3077.5,3105,Na1,(nieokreślone),MY86
3105,3162,A1D,(nieokreślone),MY86
3162,3167,Ca1,dolomity,MY86
3167,3168,I1,(nieokreślone),MY86
3168,3231.5,Ps,zlepieńce,MY86
3231.5,3325,Pa,(nieokreślone),MY86
0,25,Q,"gliny,piaski,żwiry",MY85
25,43,Jto3,"piaskowce,łupki",MY85
43,79.5,Jto1,"łupki,mułowce",MY85
79.5,161,Jpl3,"piaskowce,łupki",MY85
161,533,Jpl1,"łupki,piaskowce,mułowce",MY85
533,658.5,Jh,"piaskowce,łupki",MY85
658.5,799,TRe,iłowce,MY85
799,934,Tk3,"anhydryty,łupki",MY85
934,1002,Tk1,"łupki,piaskowce,gipsy,anhydryty",MY85
1002,1137.5,T2,"wapienie,dolomity",MY85
1137.5,1294.5,Tp3,piaskowce,MY85
1294.5,1715,Tp2,"piaskowce,łupki",MY85
1715,2051.5,Tp1,"łupki,mułowce",MY85
2051.5,2052.5,A4G,(nieokreślone),MY85
2052.5,2094,Na4,(nieokreślone),MY85
2094,2095,A4D,(nieokreślone),MY85
2095,2120,I4,(nieokreślone),MY85
2120,2129.5,Na3G,(nieokreślone),MY85
2129.5,2225,Na3D,(nieokreślone),MY85
2225,2250.5,A3,(nieokreślone),MY85
2250.5,2256,Ca3,(nieokreślone),MY85
2256,2258.5,A2G,(nieokreślone),MY85
2258.5,2313,Na2,(nieokreślone),MY85
2313,2320.2,A2,anhydryty,MY85
2320.2,2329.4,Ca2,dolomity,MY85
